,First Name,Last name,university of PhD,university of PhD ID,department of PhD,year of PhD,current university,current university ID,department of current faculty,year faculty started,job title
64,Sharon,Kingsland,University of Toronto,45,,,Johns Hopkins University,244,History of Science and Technology,,
65,Stuart,Leslie,University of Delaware,279,,,Johns Hopkins University,244,History of Science and Technology,,
66,Joris,Mercelis,Ghent University,469,,,Johns Hopkins University,244,History of Science and Technology,,
67,María,Portuondo,Johns Hopkins University,244,,,Johns Hopkins University,244,History of Science and Technology,,
68,Stephen,Campbell,Johns Hopkins University,244,,,Johns Hopkins University,244,History of Art,,
69,Michael,Fried,Harvard University,22,,,Johns Hopkins University,244,History of Art,,
70,Christopher,Lakey,University of California,1,,,Johns Hopkins University,244,History of Art,,
71,Mitchell,Merback,University of Chicago,122,,,Johns Hopkins University,244,History of Art,,
72,Ünver,Rüstem,Harvard University,22,,,Johns Hopkins University,244,History of Art,,
73,Pier,Tucci,University ‘Sapienza’,470,,,Johns Hopkins University,244,History of Art,,
74,Molly,Warnock,Johns Hopkins University,244,,,Johns Hopkins University,244,History of Art,,
75,Nino,Zchomelidse,University of Bern,471,,,Johns Hopkins University,244,History of Art,,
76,Hollis,Robbins,Princeton University,181,,,Johns Hopkins University,244,Africana Studies,,
77,James,Calvin,New York University,72,,,Johns Hopkins University,244,Africana Studies,,
78,N.,Connolly,University of Michigan,458,,,Johns Hopkins University,244,Africana Studies,,
79,Katrina,McDonald,University of California,1,,,Johns Hopkins University,244,Africana Studies,,
80,Lester,Spence,University of Michigan,458,,,Johns Hopkins University,244,Africana Studies,,
81,Steven,David,Harvard University,22,,,Johns Hopkins University,244,Jewish Studies,,
82,Kenneth,Moss,Stanford University,232,,,Johns Hopkins University,244,Jewish Studies,,
83,Michael,Betenbaugh,University of Delaware,279,,,Johns Hopkins University,244,Chemical and Biomolecular Engineering,,
84,Michael,Bevan,Carnegie Mellon University,261,,,Johns Hopkins University,244,Chemical and Biomolecular Engineering,,
85,Honggang,Cui,University of Delaware,279,,,Johns Hopkins University,244,Chemical and Biomolecular Engineering,,
86,Lise,Dahuron,University of Minnesota,397,,,Johns Hopkins University,244,Chemical and Biomolecular Engineering,,
87,Marc,Donohue,University of California at Berkeley,1,,,Johns Hopkins University,244,Chemical and Biomolecular Engineering,,
